 брюшная полость 	['æbdəmen] 	abdomen
лодыжка	['æŋkl]	ankl  
аппендикс 	[ə'pendɪks]	appendix
 рука 	[ɑːm]	arm 
 подмышка 	['ɑːmpɪt]	armpit
 артерия 	['ɑːtərɪ]	artery
спина 	[bæk] 	back 
затылок 	[]	back of the head
борода 	[bɪəd] 	beard
 большой палец на ноге 	[]	big toe
 мочевой пузырь 	['blædə] 	bladder
кровь 	[blʌd] 	blood
тело 	['bɔdɪ] 	body 
кость 	[bəun] 	bone
мозг 	[breɪn] 	brain
грудь 	[brest] 	breast
переносица 	[]	bridge of the nose
бронх 	['brɔŋkəs] 	bronchus
ягодицы 	[bʌtək] 	buttocks
икра (ноги) 	[kɑːf] 	calf
хрящ 	['kɑːtɪlɪʤ] 	cartilage 
щека 	[ʧiːk] 	cheek
грудная клетка 	[ʧest] 	chest
подбородок 	[ʧɪn] 	chin
пищеварительный тракт 	[]	digestive tract 
ямочка на щеке 	['dɪmpl] 	dimple
 двойной подбородок 	['dʌbl ʧɪn] 	double chin 
ухо 	[ɪə] 	ear 
барабанная перепонка 	['ɪədrʌm] 	ear drum
локоть 	['elbəu] 	elbow 
локтевой сустав 	[]	elbow joint 
пищевод 	[ɪ'sɔfəgəs] 	esophagus 
глаз 	[aɪ] 	eye 
глазное яблоко 	['aɪbɔːl] 	eyeball
бровь 	['aɪbrau] 	eyebrow 
ресницы 	['aɪlæʃ] 	eyelashes 
веко 	['aɪlɪd] 	eyelid 
лицо 	[feɪs] 	face 
ноготь 	['fɪŋgəneɪl] 	fingernail 
ступня 	[fut] 	foot
предплечье 	['fɔː(r)ɑːm] 	forearm
 указательный палец 	['fɔːˌfɪŋgə] 	forefinger 
лоб 	['fɔːhed] 	forehead
 желудочно-кишечный тракт 	[]	gastrointestinal tract
 гениталии 	[ˌdʒɛnɪ'teɪlɪə] 	genitalia
десна 	[gʌm] 	gum
 волосы 	[hɛə] 	hair 
 рука (кисть) 	[hænd] 	hand
 голова 	[]	head
  пятка 	[hiːl] 	heel
бедро 	[hɪp] 	hip
 тазобедренный сустав 	[]	hip joint
подъём (ноги, ботинка) 	['ɪnstep] 	instep
кишечник 	[ɪn'testɪn] 	intestines 
 радужная оболочка глаза 	['aɪərɪs]	iris
  челюсть 	[dʒɔ:] 	jaw 
сустав 	[ʤɔɪnt] 	joint
почка 	['kɪdnɪ] 	kidney
колено 	[niː] 	knee 
 коленный сустав 	[]	knee joint 
сустав пальца 	['nʌkl] 	knuckle
нога 	[leg] 	leg
конечность 	[lɪm] 	limb
губа 	[lɪp] 	lip 
мизинец (на руке) 	[]	little finger
мизинец (на ноге) 	[]	little toe
печень 	['lɪvə] 	liver 
нижняя челюсть 	['ləuə dʒɔ:] 	lower jaw 
лёгкое 	[lʌŋ] 	lung 
средний палец 	[]	middle finger 
усы 	[mə'stɑːʃ] 	moustache 
рот 	[mauθ] 	mouth
мускул 	['mʌsl] 	muscle 
пупок 	['neɪv(ə)l] 	navel 
шея 	[nek] 	neck 
нерв 	[nɜːv] 	nerve
нервная система 	['nɜːvəs 'sɪstəm] 	nervous system 
нос 	[nəʊz] 	nose 
ноздря 	['nɔstr(ə)l] 	nostril
ладонь 	[pɑːm] 	palm 
поджелудочная железа 	['pæŋkrɪəs] 	pancreas 
зрачок 	['pjuːp(ə)l] 	pupil
суженные зрачки 	[]	pupils-contracted 
расширенные зрачки 	[]	pupils-dilated
ребро 	[rɪb] 	rib
безымянный палец 	[]	ring finger
голень 	[ʃɪn] 	shin
плечо 	['ʃəuldə] 	shoulder 
плечевой сустав 	[]	shoulder joint 
кожа 	[skɪn] 	skin 
череп 	[skʌl] 	skull
скальп 	[]	skull cap
спинной мозг 	[]	spinal cord 
позвоночник 	[spaɪn] 	spine 
желудок 	['stʌmək] 	stomach 
 висок 	['templ] 	temple 
сухожилие 	['tendən] 	tendon
бедро (от таза до колена) 	[θaɪ] 	thigh 
горло 	[θrəut] 	throat
большой палец руки 	[θʌm] 	thumb 
ноготь на пальце ноги 	['təuneɪl] 	toenail 
язык 	[tʌŋ] 	tongue
зуб 	[tuːθ] 	tooth 
макушка 	[]	top of the head 
верхняя челюсть 	['ʌpə dʒɔ:] 	upper jaw  
вена 	[veɪn] 	vein
алия 	[weɪst] 	waist 
дыхательное горло 	['wɪn(d)paɪp] 	windpipe 
запястье 	[rɪst] 	wrist 
