гостиная	['lɪvɪŋrum]	Living room
книжная полка	['bukʃelf]	Bookshelf
стул, кресло	[ʧɛə]	Chair
журнальный столик	['kɔfɪ 'teɪbl]	Coffee table
занавески, шторы	['kɜːt(ə)ns]	Curtains
диванная подушка	['kuʃ(ə)n]	Cushion
пол	[flɔː]	Floor
лампа, светильник	[læmp]	Lamp
картина	['pɪkʧə]	Picture
диван, софа	['səufə]	Sofa
телевизор	['telɪvɪʒ(ə)n], [ˌtiː'viː]	Television, TV
окно	['wɪndəu]	Window
спальня	['bedruːm]	Bedroom
простынь	[flæt ʃiːt]	(Flat) sheet
будильник	[ə'lɑːmklɔk]	Alarm clock
кровать	[bed]	Bed
каркас кровати	[bed freɪm]	Bed frame
покрывало	['bedspred]	Bedspread
одеяло	['blæŋkɪt]	Blanket
жалюзи	[blaɪnds]	Blinds
матрасная пружина	['bɔksˌsprɪŋ]	Box spring
ковер	['kɑːpɪt]	Carpet
комод	[ʧest ɔv 'drɔːəs]	Chest (of drawers)
радиочасы	[klɔk 'reɪdɪəu]	Clock radio
стёганое ватное одеяло	['kʌmfətə / kwɪlt]	Comforter/ quilt
занавески, шторы	['kɜːt(ə)ns]	Curtains
комод с зеркалом	['dresə]	Dresser
юбка для кровати	[dʌst 'rʌfl]	Dust ruffle
одеяло с электрообогревом	[ɪ'lektrɪk 'blæŋkɪt]	Electric blanket
натяжная простыня (на резинке)	['fɪtɪd ʃiːt]	Fitted sheet
изголовье кровати	['hedbɔːd]	Headboard
шкатулка с драгоценностями	['ʤuːəlrɪ bɔks]	Jewelry box
лампа	[læmp]	Lamp
матрац	['mætrəs]	Mattress
зеркало	['mɪrə]	Mirror
тумбочка	[naɪt 'teɪbl]	Night table
подушка	['pɪləu]	Pillow
наволочка	['pɪləu keɪs]	Pillow case
кухня	['kɪʧɪn]	Kitchen
стул	[ʧɛə]	Chair
кухонная плита	['kukə]	Cooker
шкаф для посуды, сервант, буфет	['kʌbəd]	Cupboards
шкаф с выдвижными ящиками	['drɔːəs]	Drawers
холодильник	[frɪʤ 'friːzə]	Fridge freezer
ваза для фруктов	[fruːt bəul]	Fruit bowl
чайник	['ketl]	Kettle
микроволновка	['maɪkrəweɪv]	Microwave
комнатное растение	[pɔt plɑːnt]	Pot plant
раковина	[sɪŋk]	Sink
стол	['teɪbl]	Table
скатерть	['teɪblklɔθ]	Tablecloth
кухонное полотенце	[tiː 'tauəl]	Tea towel
тостер	['təustə]	Toaster
стиральная машина	['wɔʃɪŋ mə'ʃiːn]	Washing machine
ванная комната	['bɑːθruːm] ванная комната	Bathroom
ванна	[bɑːθ]	Bath
корзина для грязного белья	['lɔːndrɪ 'bɑːskɪt]	Laundry basket
коврик	[mæt]	Mat
полочка	[ʃelf]	Shelf
краны	[tæps]	Taps
кафель	[taɪls]	Tiles
унитаз	['tɔɪlət]	Toilet
ершик для унитаза	['tɔɪlət brʌʃ]	Toilet brush
туалетная бумага	['tɔɪlət rəul]	Toilet rolls
зубная щетка	['tuːθbrʌʃ]	Toothbrush
полотенце	['tauəl]	Towel
