Кухонная утварь и приспособления	['kɪʧɪnjuː'tens(ə)lz&dɪ'vaɪsiz]	Kitchen utensils & devices
плита	['kukə / stəuv]	cooker = stove
духовка	['ʌv(ə)n]	oven
ложка	[spu:n]	spoon
тарелка	[pleɪt]	plate
стакан, бокал	[gla:s]	glass
чайник	['ketl]	kettle
нож	[naɪf]	knife
холодильник	[frɪʤ]	fridge
банка	[ʤɑː]	jar
миска	[bəul]	bowl
кружка	[mʌg]	mug
вилка	[fɔːk] 	fork
чайна ложка	[ti: spu:n]	tea spoon
кастрюля	[pæn / 'sɔːspən] 	pan = saucepan
сковородка	['fraɪɪŋˌpæn]	frying pan
крышка	[lɪd]	lid
терка	['greɪtə]	grater
мясорубка	['mɪn(t)sə / mi:t'graɪndə]	mincer = meat grinder
дуршлаг	['kʌləndə]	colander
сито	[sɪv]	sieve
Кухонные весы	['kɪʧɪnskeɪlz]	kitchen scales
кувшин	[ʤʌg]	jug
консервный нож	 [kæn 'əup(ə)nə / tɪn 'əup(ə)nə]	can opener = tin opener
штопор	['kɔːkskruː] 	corkscrew
свеча	['kændl]	candle
