Аэропорт	[ 'ɛəpɔ:t ]	Airport
Аэропорт вылета	[ 'ɛəpɔ:t əv di'pɑ:ʧə ]	Airport of departure
Аэропорт назначения	[ 'ɛəpɔ:t əv ,desti'neiʃn ]	Airport of destination
Вход /выход	[ geit ]	Gate
Авиалиния	['eəlaɪn]	Airline
Рейс	[ flait ]	Flight
Терминал	['tɜːmɪn(ə)l]	Terminal
Вход	[ 'entrəns ]	Entrance
Расписание	[ 'taɪm‚teɪbəl ]	Timetable
Задержка	[dɪ'leɪ]	Delay
Посадка, приземление	[ 'lændiŋ ]	Landing
Расписание полётов	[ 'ɛəlain 'skedju:l ]	Airline schedule
Часовой пояс	[taɪmzəun]	Time zone
Зонa ожидания	['weɪtɪŋ  'eərɪə]	Waiting area
Прибытие	[ ə'raivl ]	Arrival
Отправление	[ di'pɑ:ʧə ]	Departure
Маршрут	[ ru:t ]	Route
Аварийная посадка	[ i'mə:ʤənsi 'lændiŋ ]	Emergency landing
Тариф	[ fɛə ]	Fare
Взлёт (воздушного судна)	[ 'teɪkɔf ]	Take-off
Запасной аэропорт	[ ɔ:l'tə:nit 'ɛəpɔ:t ]	Alternate airport
Взлетно-посадочная полоса	[ 'rʌnwei ]	Runway
Зал ожидания ( где после регистрации  ожидают объявления посадки)	[dɪ'pɑːʧəlaunʤ]	Departure lounge
Монитор вылетов и прилетов	[ə'raɪv(ə)l ənddɪ'pɑːʧə 'mɔnɪtə]	Arrival and departure monitor
Закусочная	[kən'seʃ(ə)n stænd \ snækbɑː]	Concession stand / snack bar
Магазин беспошлинной торговли	['djuːtɪfriː ʃɔp]	Duty-free shop 
Сувенирный магазин	[gɪftʃɔp]	Gift shop
Диспетчерская вышка	[kən'trəul 'tauə]	Control tower
Полевой аэродром; взлётно-посадочная площадка	['eəstrɪp]	Airstrip
Воздушное пространство	['eəspeɪs]	Airspace
Остановка в пути	[ 'stɒp‚əʋvər ]	Stopover
Перелёт без посадок	[ nɔn'stɔpflait ]	Nonstop flight
Отменять	['kænsəl ]	To cancel
Багаж	[ 'bægiʤ ]	Baggage
Вес	[ weit ]	Weight
Чемодан	['s(j)uːtkeɪs]	Suitcase
Ручная кладь	[hændˈlʌɡɪdʒ]	Hand luggage
Утерянный багаж	[ lɔst 'bægiʤ ]	Lost baggage
Тележка	['lʌgɪʤ'kærɪə]	Luggage carrier
Перевозчик	[ 'kæriə ]	Carrier
Багажная полка	['əuvehedkəm'pɑːtmənt]	Overhead compartment
Носильщик в аэропорту	['pɔːtə] 	Porter 
Повреждённый багаж	[ 'dæmɪdʒd 'bægiʤ ]	Damaged baggage
Задержанный багаж	[ dɪ'leɪd 'bægiʤ ]	Delayed baggage
Сверхнормативный багаж	[ ik'ses 'bægiʤ ]	Excess baggage
Багажный транспортер	['bægɪʤ ˌkærə'sel]	Baggage carousel
Зонa получения багажа	['bægɪʤkleɪm 'eərɪə]	Baggage claim area
Багажный талон	[('bægɪʤ)kleɪm 'ʧek]	(baggage) claim check
Мешок для одежды	['gɑːməntbæg]	Garment bag
Таможня, Иммиграционная служба и Охрана	[ 'kʌstəmz \ ˌɪmɪ'greɪʃ(ə)n \ sɪ'kjuərətɪ]	Customs, Immigration & Security
Таможня	[ 'kʌstəmz ]	Customs
Охранник	[sɪ'kjuərətɪgɑːd]	Security guard
Металлоискатель	['met(ə)l dɪ'tektə]	Metal detector
Таможенная декларация	['kʌstəmz ˌdeklə'reɪʃ(ə)n fɔːm]	Customs declaration form
Cотрудники миграционной службы	[ˌɪmɪ'greɪʃ(ə)n 'ɔfɪsə]	Immigration officer
Контрольно-пропускной пункт	[sɪ'kjuərətɪ 'ʧekpɔɪnt]	Security checkpoint
Рентгеновский аппарат для осмотра багажа	[ 'eksreɪmə'ʃiːn]	X-ray machine
Регистрация	[ʧekɪn]	Check – In
Паспорт	['pɑːspɔːt]	Passport
Виза	['viːzə]	Visa
Бронирование	[ ,rezə'veiʃən ]	Reservation
Номер рейса	[ flait 'nʌmbə ]	Flight number
Билет	[ 'tikit ]	Ticket
Посадочный талон	[ 'bɔ:rdɪŋpɑ:s ]	Boarding pass
Стойка регистрации	[ʧekɪn 'kauntə]	Check-in counter
Кассир билетной кассы	[ 'tikit 'eɪʤ(ə)nt]	Ticket agent
Билетная касса	[ 'bʋkɪŋ 'ɔfis ]	Booking office
Касса	['tɪkɪt 'kauntə]	Ticket counter
Билет в один конец	[ wʌn-wei 'tikit ]	One-way ticket
Билет туда и обратно	[ raund trip 'tikit ]	Round trip ticket
Бронировать, брать билет	[buk ]	To book
