Жалкий вид	['sliːzɪ ə'pɪər(ə)ns]	Sleazy appearance
Высокий	[tɔ:l]	Tall
Худой, тощий	[‘skɪnɪ / 'slendə / θɪn / ɪ'meɪʃɪeɪtɪd / freɪl]	Skinny / slender / thin / emaciated / frail
Долговязый	['lɑːθɪ]	Lathy 
Изящный, стройный (употребляется обычно по отношению к женщинам)	[niːt]	Neat 
Худощавый (употребляется обычно по отношению к мужчинам)	[liːn / kʌt]	Lean / cut
Толстый, полный	[əuvə’weɪt / plʌmp (polite)/ staut (polite)/ θɪk / əu'biːs (impolite)/  lɑːʤ (neutral) / ‘tʃʌbɪ]	Overweight / plump (polite)/ stout (polite)/ thick / obese (impolite)/ large (neutral)/ chubby (little bit overweight, polite)
Мускулистый	['mʌskjələˌ 'mʌskjulə]	Muscular
Низкий/низенький	[ʃɔ:t  /'ʃɔːtɪʃ]	Short / shortish
Моложавый вид	['ʤuːv(ə)naɪlə'pɪər(ə)n(t)s]	Juvenile appearance
Хорошо сложенный (о мужчине)	[ˌwel'bɪlt]	Well-built
С хорошей фигурой (о женщине)	[‘welʃeɪpt]	Well-shaped
С брюшком	['pɔːnʧɪ]	Paunchy 
Упитанный	[ˌwel'fed]	Well-fed 
Сутулый	['stuːpɪŋ]	Stooping 
Эффектная внешность	[ʃiːkə'pɪər(ə)n(t)s]	Chic appearance
Осиная талия	['auəglɑːs 'fɪgə]	Hourglass figure
Коренастый	[‘stɔkɪ (men)]	Stocky (men)
Дряблый, мягкотелый	[‘flæbɪ = anti’mʌskjulər]	Flabby = antimuscular
Среднего роста	[‘mi:dɪəmhaɪt]	Medium height
Волосы	[heə]	Hair
Лысый	[bɔ:ld \ 'bɔːld'hedɪd]	Bald /  bald-headed
Жёсткие(как проволока)	[‘waɪərɪ]	Wiry
Волнистые	[‘weɪvɪ]	Wavy
Кудрявые	['kɜːlɪ]	Curly
Прямые	[streɪt]	Straight
Серые	[greɪ]	Gray
Завитые	[kɜːld]	Curled 
Редкие	['skæntɪ  / θɪn]	Scanty / thin
Густые	[θɪk]	Thick 
Шелковистые	['sɪlkɪ]	Silky
Рыжие	['ʤɪnʤə  / red]	Ginger / red
Рыжеволосый человек	['redhed]	Redhead
Седые (о волосах)	[wait]	White
Блондинистые	[blɔnd]	Blond
Брюнетка	[bruː'net] 	Brunette
Тёмно-рыжие	[‘ɔːbən]	Auburn
Лысина	[bɔ:ldspɔt]	Bald spot
Рыжеватые	['redɪʃ]	Reddish
Волосы средней длины, до плеч	[ˌʃəuldə'leŋθ]	Shoulder-length
Косы	[breɪdz /  plæts] 	Braids / plaits
Локон, завиток	[lɔk  / kɜːl  / 'rɪŋlɪt]	Lock / curl / ringlet
Челка	[frɪnʤ  / bæŋz]	Fringe / bangs
Стрижка	[‘hɛəkʌt]	Haircut
Причёска	[‘hɛədu:]	Hairdo
Перманентная завивка	[pə:m]	Perm
Жидкие волосы	[spɑ:sheə]	Sparse hair
Редеющие	[θɪnɪŋ]	Thinning
Приглаженные	[sliːk  / smuːð]	Sleek / smooth
Взъерошенные волосы	['tauzldheə]	Tousled hair  
Растрёпанные	[dɪ'ʃev(ə)ld]	Disheveled
Крашеные	[daɪd]	Dyed 
Лицо	[feɪs]	Face
Бледная кожа	[peɪlskɪn]	Pale skin
Шрам	[skɑ:]	Scar
Родинка	[məul]	Mole
Прыщ	[spɔt  / ‘pɪmpl]	Spot / pimple
Угри	[ʹæknı]	Acne
Загорелый	[sʌn- tænd]	Sun-tanned
Морщины	[‘rɪŋklz]	Wrinkles
Ямочки	[‘dɪmplz]	Dimples
Веснушки	['freklz]	Freckles
Бородавкa	[wɔ:t]	Wart
Квадратное / круглое / овальное (лицо)	[skweə /  raund /  'əuv(ə)l]	Square / round / oval
Обрюзгшее лицо	['bləutɪdfeɪs ]	Bloated face  
Впалые щеки	['hɔləutʃi:ks]	Hollow cheeks  
Пухлое и розовощекое лицо	[ʧe'ruːbɪkfeɪs]	Cherubic face  
Пухлое лицо	[‘tʃʌbɪfeɪs]	Chubby face  
Обветренное лицо	['weðə ‘bi:tnfeɪs]	Weather beaten face 
Полнощёкий	[‘tʃʌbɪtʃi:ks]	Chubby cheeks
Гладковыбритый	[ˌkliːn'ʃeɪv(ə)n /  smuːðʧiːkt]	Clean-shaven / smooth-cheeked  
Высокие скулы	[haɪ ‘tʃi:kbəunz]	High cheekbones  
Круговая пластика	[feɪslɪft]	Face lift  
Оттопыренные уши	['prɔmɪnəntɪəz]	Prominent ears
Мочка уха	[ ɪələub]	Ear lobe
Улыбка	[smaɪl]	Smile
Сияющая улыбка	[ʹbi:mıŋsmaɪl]	Beaming smile
Виноватая улыбка	[əˌpɔlə'ʤetɪksmaɪl]	Apologetic smile
Полу улыбка	['semɪsmaɪl]	Semi-smile
Улыбка сквозь слезы	[wet smaɪl]	Wet smile
