продвигаться	[ədˈvɑːns]	advance
прибывать	[əˈraɪv]	arrive
восходить	[əˈsend]	ascend
избегать	[əˈvɔɪd]	avoid
гнуть	[bend]	bend
тормозить	[breɪk]	brake
схватить	[kætʃ]	catch
догонять	[kætʃ ʌp]	catch up
 взбираться	[klaɪm]	climb
приходить	[kʌm]	come
 встречаться	[kʌm əˈkrɒs]	come across
 ползти	[kriːp, krɔːl]	creep
пересекать	[krɒs]	cross
отправляться	[dɪˈpɑːt]	depart
 спускаться	[dɪˈsend]	descend
нырять	[daɪv]	dive
 водить	[draɪv]	drive
ронять / падать	[drɒp]	drop
тонуть	[draʊn]	drown
всплывать	[ɪˈmɜːdʒ]	emerge
входить / вводить	[ˈentə]	enter
 убежать	[ɪˈskeɪp]	escape
 падать	[fɔːl]	fall
 спасаться бегством	[fliː]	flee
 держаться на поверхности воды / не тонуть	[fləʊt]	float
 течь	[fləʊ]	flow
лететь	[flaɪ]	fly
следовать	[ˈfɒləʊ]	follow
идти / ехать	[ɡəʊ]	go
идти (вдоль)	[ɡəʊ əˈlɒŋ]	go (along)
входить	[ɡəʊ ɪn]	go in
выходить	[ɡəʊ aʊt]	go out 
спешить	[ˈhʌri]	hurry
оставлять позади	[liːv bɪˈhaɪnd]	leave behind 
опускать	[ˈləʊə]	lower
встречать(ся)	[miːt]	meet
двигать(ся)	[muːv]	move
проходить мимо	[pɑːs]	pass
нырять / окунаться	[plʌndʒ]	plung
преследовать	[pəˈsjuː]	pursue
поднимать	[reɪz, lɪft]	raise, lift
достигать	[riːtʃ, əˈteɪn]	reach, attain
возвращаться	[rɪˈtɜːn]	return
скакать / ехать	[raɪd]	ride
подниматься	[raɪz]	rise
катить(ся)	[rəʊl]	roll
вращаться	[rəʊˈteɪt]	rotate
грести	[raʊ]	row
бежать	[rʌn]	run
врезаться (в)	[rʌn ˈɪntə]	run (into)
идти под парусом	[seɪl]	sail 
трясти(сь)	[ʃeɪk]	shake
погружаться\опускаться	[sɪŋk]	sink
кататься на коньках	[skeɪt]	skate
кататься на лыжах	[skiː]	ski
скользить	[slaɪd]	slide
замедлять	[sləʊ daʊn]	slow down
ускорять	[spiːd ʌp]	speed up
останавливать(ся)	[stɒp]	stop
перегонять	[səˈpɑːs]	surpass
плыть	[swɪm]	swim
плавать	[swɪm]	swim
раскачиваться	[swɪŋ]	swing
поворачивать(ся)	[tɜːn]	turn 
повернуть (налево)	[tɜːn left]	turn (left) 
идти / гулять	[wɔːk]	walk
махать рукой	[weɪv]	wave
