Вставать	[ ‘ɡet ʌp ]	To get up
Мыть руки	[ wɒʃ hændz ]	To wash hands 
Мыть лицо	[ wɒʃ feɪs ]	To wash face 
Умываться	[ wɒʃ hændz & feɪs ]	To wash hands & face 
Чистить зубы	[ kliːn (brʌʃ) tiːθ ]	To clean (brush) teeth 
Идти в ванную	[ ɡəʊ tə ðə ‘bɑːθruːm ]	To go to the bathroom 
Принимать душ	[ teɪk ə ‘ʃaʊə ]	To take a shower
Приниматьв анну	[ teɪk ə bɑːθ ]	To take a bath 
Идти в кухню	[ ɡəʊ tə ðə ‘kɪtʃɪn ]	To go to the kitchen 
Завтракать/обедать/ужинать	[ həv ‘brekfəst /  lʌntʃ /  ‘dɪnə / ‘sʌpə ]	To have breakfast /  lunch / dinner/supper 
Уходить / оставлять / покидать	[ li:v ]	To leave 
Уходить из дома	[ li:v həʊm ]	To leave home 
Уходить с работы	[ li:v ‘wɜːk ]	To leave work 
Уходить на работу	[ li:v fə ‘wɜːk ]	To leave for work 
Уходить из дома на работу	[ li:v həʊm fə ‘wɜ:k ]	To leave home for work 
Ходить за покупками / делать покупки	[ ɡəʊ ‘ʃɒpɪŋ / du: ‘ʃɒpɪŋ ]	To go shopping / do shopping
Смотреть ТВ	[ wɒtʃ ˌti:’vi: ]	To watch TV 
Сидеть в интернете	[ sɜ:f ðə net ]	To surf the net 
Пользоваться компьютером	[ ‘ju:z ə kəm’pju:tə ]	To use a computer 
Слушать музыку	[ ‘lɪsn̩ tə ‘mju:zɪk ]	To listen to music
Ходить в гости к друзьям  	[‘vɪzɪt frendz ]	To visit friends
Принимать гостей	[ri’si:v gests]	To receive guests
Играть в игры / карты	[pleɪ ɡeɪmz / kɑ:dz ]	To play games / cards
Иметь обеденный перерыв	[həv ə lʌntʃbreɪk ]	To have a lunch break 
Возвращаться	[ kʌm ‘bæk / rɪ’tɜ:n ]	To come back / to return 
Перед тем, как ложиться спать	[ bɪ’fɔ: ‘ɡəʊɪŋ tə bed ]	Before going to bed 
Читать перед сном	[ ri:d bɪ’fɔ: ‘sli:pɪŋ ]	To read before sleeping
Ложиться спать	[ ɡəʊ tə bed ]	To go to bed 
  Засыпать	[ fɔ:l ə’sli:p ]	To fall asleep
Стричь газон	[ maʊ ə lɔ:n ]	To mow a lawn
Копать	[ dɪɡ ]	To dig
Полоть сорняки	[ pʊl wi:dz ]	To pull weeds
Поливать	[ ‘wɔ:tə  / ‘ɪrɪɡeɪt ]	To water / irrigate
Идти пешком/ прогуливаться	[ɡəʊ ɒn fʊt / wɔ:k / həv ə strəʊl]	To go on foot / to walk / to have a stroll
Удобрять	[‘fæt(ə)n̩ / ‘nʌrɪʃ ]	To fatten / nourish
Стирка	 [ˈduːɪŋ ðə ˈlɔːndri]	Doing the Laundry
Стирать	[duː ðə ˈwɒʃɪŋ]	To do the washing
Стирать, мыть	[wɒʃ]	To wash
Бельё, предназначенное для стирки	[ˈlɔːndri]	Laundry
Гладить	[ˈaɪən  / duː ðɪ ˈaɪənɪŋ]	To iron / do the ironing
Рассортировать	[sɔːt aʊt]	To sort out
Стиральный порошок	[ˈwɒʃɪŋ ˈpaʊdə]	Washing powder
Бак (стиральной машины)	[tʌb]	Tub
Таз	[ˈbeɪsn ]	Basin
Домашние обязанности на кухне	 [tʃɔːz in ðə  'kɪtʃɪn]	Chores in the Kitchen
Готовить	[kʊk]	To cook
Мыть посуду	[duː ðə dɪʃɪz / wɒʃ ʌp]	To do the dishes / to wash up
Губка	[spʌndʒ ]	Sponge
Накрывать на стол	[leɪ ðə ˈteɪbl]	To lay the table
Ведение домашнего хозяйства	[ˈhaʊskiːpɪŋ] 	Housekeeping
Вести домашнее хозяйство	[kiːp haʊs ]	To keep house
Вести домашнее хозяйство	[rʌn ðə haʊs ]	To run the house
Домашние обязанности	[dəˈmestɪk tʃɔːz]	Domestic chores
Домохозяйка	[ˈhaʊswaɪf ]	Housewife
Проветривать (комнату)	[eə (ðə ruːm)]	To air (the room)
Беспорядок	 [mes]	Mess
Грязь	[dɜːt]	Dirt
Грязный	[ˈdɜːti]	Dirty
Пыль	[dʌst ]	Dust
Устраивать беспорядок	[meɪk ə mes]	To make a mess
След ноги	[ˈfʊtmɑːk]	Footmark
Пятно	[steɪn]	Stain
Мусор 	[ˈrʌbɪʃ]	Rubbish
Пролить	[spɪl]	To spill
Уборка, порядок	 [ˈkliːnɪŋ ]	Cleaning
Чистить, прибирать; чистый	[kliːn ]	To clean
Мыть пол	[kliːn / wɒʃ ðə flɔː(r) ]	To clean / wash the floor
Делать уборку	[duː ðə ˈkliːnɪŋ ]	To do the cleaning
Выносить мусор	[teɪk ðə ˈɡɑːbɪdʒ aʊt]	To take  the garbage(rubbish) out
Заправлять кровать	[meɪk ðə bed]	To make the bed
Метла, веник	[bruːm]	Broom    
Щётка	[brʌʃ]	Brush
Вытирать пыль	[dʌst] 	To dust
Тряпка для вытирания пыли	[ˈdʌstə(r) ]	Duster
Совок	[ˈdʌstpæn]	Dustpan
Тереть (щёткой)	[skrʌb]	To scrub
Очиститель, жидкоемоющее средство	[ˈklenzə(r)]	Cleanser
Фартук	[ˈeɪprən]	Apron
Швабра	[mɒp / flɔː mɒp]	Mop / floor-mop 
Мусорное ведро	[ˈdʌstbɪn]	Dustbin
Подметать пол	[swiːp  ðə flɔː(r) ]	To sweep the floor
Пылесосить	[ˈvækjuəm]	To vacuum
		
Любить	[ lʌv ]	Love
Обожать	[ə'dɔː]	Adore
Слышать	[ hiə ]	Hear
Смотреть	[ si: ]	See
Помнить	[ ri'membə ]	Remember
Нуждаться	[ ni:d ]	Need
Ненавидеть	[ heit ]	Hate
Знать	[ nəu ]	Know
Чувствовать	[ fi:l ]	Feel
Смотреть	[ luk ]	Look
Значить, означать	[ mi:n ]	Mean
Вообразить	[ imæʤin ]	Imagine
Принимать	[ ək'sept ]	Accept
Обещать	[ 'prɔmis ]	Promise
Признавать	[ 'rekəgnaiz ]	Recognize
Верить, полагать	[ bi'li:v ]	Believe
Соглашаться	[ ə'gri: ]	Agree
Казаться	[ si:m ]	Seem
Появляться	[ ə'piə ]	Appear
Заботиться (о)	[keə]	Care (for)
Состоять	[ kən'sist ]	Consist
Содержать 	[ kən'tein ]	Contain
Отрицать	[ di'nai ]	Deny
Зависеть	[ di'pend ]	Depend
Сомневаться	[ daut ]	Doubt
Соответствовать, подходить (одежда)	[ fit ]	Fit
Впечатлять	[ 'impres ]	Impress
Включать	[ in'klu:d ]	Include
Иметь значение	[ 'mætə ]	Matter
Замечать	[ 'nəutis ]	Notice
Обладать	[ pə'zes ]	Possess
Предпочитать	[ pri:fə: ]	Prefer
Реализовать	[ 'riəlaiz ]	Realise
Отказывать	[ ri'fju:z ]	Refuse
Чувствовать	[ sens ]	Sense
Желать	[wɪʃ]	Wish
Выбирать	[tʃuːz]	Choose
Создавать	[krɪˈeɪt]	Create
Надеятся	[həʊp]	Hope
Ошибаться	[ˈbiː mɪˈsteɪkən]	Be mistaken
Опаздывать	[‘biː leɪt]	Be late
Быть занятым	[ˈbiː ˈbɪzɪ]	Be busy
Обсуждать	[dɪsˈkʌs]	Discuss
Запрещать	[fəˈbɪd]	Forbid
Считать	[kənˈsɪdə]	Consider
Расценивать, рассматривать	[rɪˈɡɑːd]	Regard
Полагаться	[rɪˈlaɪ]	Rely
Достигать	[əˈtʃiːv]	Achieve
