Магазины	[ʃɔpz]	Shops
Книжный	[bʊkstɔ:]	Bookstore
Продуктовый	[grəʊsəristɔ:]	Grocery store
Косметика	[kɒz'mɛtɪksʃɒp]	Cosmetics shop
Универмаг	[dɪ'pa:tməntstɔ:]	Department store
Аптека	[drʌgstɔ: /'kemɪsts / 'fɑːməsɪ]	Drugstore / chemist's / pharmacy
Булочная	[beɪkəri]	Bakery
Кондитерская	['kændɪʃɔp]	Candy shop
Оптика	[ɒpʹtɒmıtrıst]	Optometrist
Бутик	[bu:'ti:k]	Boutique
Рынок	['ma:kɪt]	Market
Мясной м-н	[bʊtʃəz]	Butcher's
М-н обуви	[fʊtweə / ʃuː ʃɔp / 'kɔbləz]	Footwear / shoe shop / cobbler's
Торговый центр	[mɔ:l]	Mall
Ювелирный м-н	[dʒu:əlristɔ:]	Jewellery store
Электроника	[ɪlɛk'trɒnɪks]	Electronics
Книжный	[bʊkstɔ:]	Bookstore
Косметика	[kɒz'mɛtɪksʃɒp]	Cosmetics shop
Универмаг	[dɪ'pa:tməntstɔ:]	Department store
Аптека	[drʌgstɔ: /'kemɪsts /'fɑːməsɪ]	Drugstore / chemist's / pharmacy
Мебель	[fɜ:nɪtʃəstɔ:]	Furniture store
Спортивные товары	[spɔ:tgʊdz / spɔ:tsstɔ:]	Sport goods / sports store
Канцелярия	[steɪʃnəz]	Stationer's
М-н игрушек	[tɔɪstɔ:]	Toy store
Антикварный	[æn'ti:kʃɒp]	Antique shop
Газетныйкиоск	[nju:z 'eɪdʒənts /ʹnju:zstænd]	Newsagent's / news-stand
Дисконт центр	[dɪskaʊntstɔ:]	Discount store
М-н тканей	[fæbrɪkstɔ:]	Fabric store
Магазин посуды	['krɔk(ə)rɪ] / ['kukweə]	Crockery / cookware
Рыбныймагазин	[fɪʃˌmʌŋgəz /si:fudstɔ:]	Fishmonger's / seafood store
Цветочный магазин	['flɔrɪst]	Florist 
Сетьс токовых магазинов	['autletmɔːl]	Outlet mall
Ломбард	['pɔːnʃɔp]	Pawnshop 
Винный магазин	['lɪkəstɔː]	Liquor store
Блошиный рынок	[fli: 'ma:kɪt]	Flea market
Киоск	[ki(:)ɒsk = stɔ:l]	Kiosk=stall
Галантерея	[hæbədæʃəri]	Haberdashery
Зоо магазин	[pɛtʃɒp]	Pet shop
Бытовые приборы	[ə'plaɪənsstɔ:]	Appliance store
Сетевой м-н	[tʃeɪnstɔ:]	Chain store
Деликатесы	[dɛlɪkə'tɛsn]	Delicatessen
Онлайн покупки	[ˌɔn'laɪn 'ʃɔpɪŋ]	Online shopping
Список пожеланий	[wɪʃlɪst]	Wish list
Заказ	[ɔ:də]	Order
Очередь	[laɪn = kju:]	Line = queue
Доставка	[dɪ'lɪvəri]	Delivery
Жаловаться	[kəm'pleɪn]	To complain
Потребитель	[kən'sju:mə]	Consumer
Выбирать	[tʃu:z]	To choose
Примерять	[traɪɒn]	To try on
Торговаться	[ba:gɪn = 'hægl]	To bargain = haggle
Платить наличными	[peɪ(in)kæʃ]	To pay (in) cash
Платить кредиткой	[peɪbaɪ 'krɛdɪtka:d]	To pay by credit card
Покупать	[pɜ:tʃəs]	To purchase
Возврат денег	[ri:fʌnd]	Refund
Возврат	[rɪ'tɜ:n]	Return
Курьер	[kʊrɪə]	Courier
Сделать заказ	[meɪkən 'ɔ:də]	To make an order
В наличии	[in stɒk = ə'veɪləbl]	In stock = available
Новые товары	[nju: 'aɪtəmz]	New items
Бесплатная доставка	[fri: 'ʃɪpɪŋ]	Free shipping
Поврежденный товар	[dæmɪdʒd 'aɪtəm]	Damaged item
Товар с дефектом	[fɔ:lti 'aɪtəm]	Faulty item
Замена	[rɪ'pleɪsmənt]	Replacement
Покупать в кредит	[baɪɒn 'krɛdɪt]	To buy on credit
Разглядывать витрины	[gəʊ 'wɪndəʊ'ʃɒpɪŋ]	To go window-shopping
Шопоголик	[ʃɔpə'hɔlɪk]	Shopaholic
Стоять в очереди	[stænd in ə laɪn]	To stand in a line
Списокпокупок	[ʃɒpɪŋlɪst]	Shopping list
Обслуживание клиентов	[kʌstəmə 'sɜ:vɪs]	Customer Service
Продавец	['selə]	Seller
Этикетка	[leɪbl]	Label
Продавать	[sɛl]	To sell
Предлагать	[ɒfə]	To offer
