Семья	['fæm(ə)lɪ]	Family
Младенец	['beɪbɪ]	Baby
Сын	[sʌn]	Son
Дочь	['dɔːtə]	Daughter
Близнец	[twɪn]	Twin
Тетя; тетка	[ɑːnt]	Aunt
Дядя	['ʌŋkl]	Uncle
Отец	['fɑːðə]	Father
Брат	['brʌðə]	Brother
Сестра	['sɪstə]	Sister
Старший брат	['eldə / əuldə 'brʌðə]	Elder / older brother
Племянница	[niːs]	Niece
Няня	[nɜːs]	Nurse
Двоюродный брат, двоюродная сестра; кузен, кузина	['kʌz(ə)n]	Cousin
Холостой	['sɪŋgl]	Single
Муж	['hʌzbənd]	Husband
Родной брат или сестра	['sɪblɪŋ]	Sibling
Племянник	['nefjuː]	Nephew
Племянник	['nefjuː]	Nephew
Родители жены/мужа	[ɪn lɔːz]	In-laws
Бывшая жена	[eks waɪf]	Ex-wife
Члены семьи	['fæm(ə)lɪz]	Families
Свадьба, венчание	['wedɪŋ]	Wedding
Родственники 	['relətɪvz]	Relatives
Брак	['mærɪʤ]	Marriage
Женатый / не женатый	['mærɪd /ʌn'mærɪd]	Married / unmarried
Разведенный	[dɪ'vɔːst]	Divorced
Холостяк	['bæʧ(ə)lə]	Bachelor
Внук; внучка	['græn(d)ʧaɪld]	Grandchild
Внучка	['græn(d)ˌdɔːtə]	Granddaughter
Внук	['græn(d)sʌn]	Grandson
Дедушка, дедушка (ласкательное)	['græn(d)ˌfɑːðə\'græn(d)pəˌpɑː\'græn(d)pɑː]	Grandfather, grandpapa, grandpa
Бабушка, бабушка (ласкательное)	['græn(d)ˌmʌðə]	Grandmother, grandmamma, grandma
Дед и бабка	['græn(d)'peər(ə)nts]	Grandparent (s)
Правнук; правнучка	[greɪt 'græn(d)ʧaɪld] 	Great-grandchild
Потомок	[dɪ'sendənt]	Descendant
Предок	['ænsəstə]	Ancestor
Жених /невеста	[fɪɒnseɪ / fɪ’ɒnseɪ, waɪf tuː bi:]	Fiancé / fiancée, wife -to –be 
Помолвленный	[ɪn'geɪʤd]	Engaged
Бывший муж	[eks 'hʌzbənd]	Ex-husband
Большая семья	[ɪk’stendɪd 'fæm(ə)lɪ]	Extended family
Планирование семьи	[’fæməlɪ ’plænɪŋ]	Family planning
Падчерица	[step 'dɔːtə]	Step-daughter
Отчим	[step 'fɑːðə]	Step-father
Приемный сын	[step sʌn]	Step-son
Суррогатная мать	[ˈsʌrəɡɪt 'mʌðə]	Surrogate mother
Свекор, тесть	['fɑːðə ɪn lɔː]	Father-in-law
Свекровь, теща	['mʌðərɪn lɔː]	Mother-in-law
Приемные родители	['fɔstə 'peər(ə)nts]	Foster  parents
Приемные родители	[ə'dɔptɪv 'peər(ə)nts]	Adoptive  parents
Брат-близнец	[twɪn 'brʌðə]	Twin-brother
Сестра-близнец	[twɪn 'sɪstə]	Twin-sister
Сводный брат	[hɑːf 'brʌðə] 	Half-brother
Неполная семья	[wʌn 'peər(ə)nt 'fæm(ə)lɪ] 	One-parent family
Сирота	['ɔːf(ə)n]	Orphan
Единственный ребенок	[ðiː 'əunlɪ ʧaɪld] 	The only child
Зять (муж дочери)	[sʌn ɪn lɔː] 	Son-in-law
Родители	[əuld fəuks]	Old folks
Брачный договор	[ˌpriːˈnʌpʃ(ə)l əˈgriːmənt]	Prenuptial agreement 
Мальчишник \ девичник	[stæg ’pɑ:rtɪ] / [hen ’pɑ:rtɪ]	Stag / hen party (night) 
Молодожены	['njuːlɪ wedz] 	Newly-weds
Обручальное  кольцо	['wedɪŋ rɪŋ]	Wedding  ring
Свадебный торт	['wedɪŋ keɪk]	Wedding cake
Свадебное платье	['wedɪŋ dres]	Wedding dress
Шафер	['braɪdzmən\best mæn]	Brides man, best man
Медовый месяц	['hʌnɪmu:n]	Honey moon
Отпуск по беременности (декрет)	[mə’tɜ:rnətɪ li:v]	Maternity leave
Разрешение на вступление в брак	['mærɪʤ ’laɪsəns]	Marriage licence  
Неверность	[ ˌɪnfɪˈdelɪtɪ]	Infidelity
Вдова	['wɪdəu] 	Widow (woman)
Вдовец	['wɪdəuə] 	Widower (man)
Противозачаточные меры	[bɜ:rƟ  kən’trəʋl]	Birth control
Усыновлять	[ə'dɔpt]	To adopt 
Подать на развод	[ə’plaɪ fɔ: dɪ’vɔ:rs]	To apply for divorce
Родиться	[biː bɔːn]	To be born
Быть родным по крови	[bi: ri:’leɪtɪd baɪ blʌd]	To be related by blood
Растить детей	[brɪŋ ʌp 'ʧɪldr(ə)n]	To bring up children
Воспитывать	[brɪŋ ʌp]	To bring up 
Развестись	[ ɡet dɪ’vɔːst ]	To get divorced  
Помолвиться 	[ɡet ɪn'geɪʤd]	To get engaged
Жениться	[get 'mærɪd]	To get married
Забеременеть	[get 'pregnənt]	To get pregnant
Родить	[gɪv bɜ:rƟ]	To give birth
Составить завещание	[meɪk ə wil]	To make a will
Жениться по любви	['mærɪ]	To marry
Предложить руку и сердце	[prə'pəuz tə <smb>]	To propose to somebody
Состоять в родстве	[rɪ'leɪt]	To relate 
Создать семью	[sta:t ə 'fæm(ə)lɪ] 	To start a family
Пойти в кого-либо	[teɪk 'ɑːftə] 	To take after 
Любовь	[lʌv]	Love
Любовь, роман, любовная связь, интрига	[æmʊə]	Amour
Свидание ; встречаться с кем-то	['deɪt] 	Date; to date  
Без любви	[lʌvləs]	Loveless
Любовник/ца/любимый(ая)	['lʌvə]	Lover
«Девушка»/ «парень»	[ˈbɔɪfrɛnd/ˈɡɜːlfrɛnd]	Boyfriend / girlfriend
Пара	['kʌpl vs peə ]	Couple vs pair 
Дитя любви, внебрачный ребенок	[lʌv ʧaɪld]	Love child
Бывший / бывшая	[eks 'bɔɪfrend / 'ɡɜːlfrend / 'hʌzbənd / waɪf]	Ex - boyfriend / girlfriend / husband /wife 
Ссора	[’kwɔ:rəl]	Quarrel
Слепая / безграничная / платоническая любовь	['blaɪnd / 'lɪmɪtləs / plə'tɔnɪk lʌv]	Blind / limitless / platonic love
Печальный (по причине разбитого сердца)	[hɑ:(r)tbroʊkən]	Heartbroken
Одинокие сердца	[’ləʋnlɪ hɑ:rts]	Lonely hearts
Детская влюблённость, юношеское увлечение	['pʌpɪ lʌv]	Puppy love
Вечная любовь	[ˌevəˈlɑːstɪŋ lʌv]	Everlasting love
Корыстная любовь, любовь с расчётом	[’kʌbərd lʌv]	Cupboard love
Созданы друг для друга	[meɪd fɔː ˌiːʧ'ʌðə]	Made for each other
Постоянный/ая	[stedi  'bɔɪfrend / 'gɜ:lfrend]	Steady boyfriend / girlfriend 
Слышу звон свадебных колокольчиков.	[aı kæn hɪə ’wedɪŋ belz]	I can hear wedding bells.
По любви, из-за любви	[fə lʌv]	For  love 
Любовь с первого взгляда	[lʌv æt fɜːst saɪt]	Love at first sight
Насильно мил не будешь	[lʌv 'kænɔt bi: kəm’peld]	Love cannot be compelled
С милым рай и в шалаше	[lʌv in ə ’kɒtɪdʒ]	Love in a cottage
Нет любви без ревности	[lʌv iz 'nevə wɪ'ðaut 'dʒeləsɪ]	Love is never without jealousy
Любовь порождает любовь	[lʌv iz ðə 'mʌðə ɔv lʌv]	Love is the mother of love
Встречаться (сходить на пару свиданий)	[ˈsiː iːtʃ ˈʌðə]	To see each other
Быть привлеченным кем-то	[bi: əˈtræktid tu <smb>]	To be attracted to smb
Быть в долгих отношениях	[bi: in ə ˈlɒŋˈt3ːm rɪ’leɪʃən‚ʃɪp ]	To be in a long-term relationship
Быть в свободных отношениях	[bi: in ən ’əʋpən ɪ’leɪʃn‚ʃɪp]	To be in an open relationship
Быть влюбленным (в)	[bi: ɪn lʌv (wɪð)]	To be in love (with)
Быть увлеченным кем-нибудь	[bi: ˈɪntu <smb>]	To be into smb
Быть в отношениях	[bi: lʌvd ʌp]	To be loved up
Занят(а)	[bi: ’teɪkən]	To be taken
Разбивать сердце	[breɪk ha:t]	To break (somebody's) heart
Ухаживать	[kɔːt]	To court 
Обниматься	[’kʌdəl]	To cuddle
Иметь симпатию к кому-то	[dɪg<smb>]	To dig (somebody)
Бросить кого-нибудь	[dʌmp <smb>]	To dump smb
Расстаться	[end it]	To end it
Развивать отношения	[ɪ’vɒlv / wɜːk aut ə rɪ'leɪʃ(ə)nʃɪp]	To evolve / work out a relationship
Влюбиться в кого-л., запасть на кого -л.	[fɔːl fɔː <smb>]	To fall for somebody
Влюбиться по уши	[fɔːl ɪn lʌv hed ’əʋvər hɪlz]	To fall in love head over hills
Влюбиться 	[fɔl ɪn lʌv wɪð <smb> ]	To fall in love with smb
Влюбиться с первого взгляда	[fɔl ɪn lʌv wɪð <smb> ət fɜ:st saɪt ]	To fall in love with smb at first sight 
Разлюбить (кого-л.)	[fɔːl aʊt əv lʌv]	To fall out of love
Полюбить, увлечься	[’fænsɪ <smb>]	To fancy somebody
Найти идеальную пару	[faɪnd 'mɪstə raɪt]	To find mr. Right
Встречаться с кем-либо	[gəu ’stedɪ]	To go steady
Сходить с ума по ком-то, думать только об одном человеке.	[hæv ə krʌʃ ɔn <smb>]	To have a crush on somebody
Ссориться, ругаться	[hæv ə faɪt]	To have a fight
Иметь много общего	[hæv ə lɒt in ’kɒmən]	To have a lot in common
Крутить с кем-то роман	[həv ən ə'feə(r)wɪð <smb>]	To have an affair with somebody
Обнимать	[ hʌg]	To hug  
Слепо любить	[lʌv 'blaɪndlɪ]	To love blindly
Нежно любить	[lʌv 'dɪəlɪ]	To love dearly
Глубоко любить	[lʌv 'dɪplɪ]  	To love deeply
Страстно любить	[lʌv 'pæʃ(ə)nətlɪ] 	To love passionately  
Ранить чьи-то чувства	[put <smb> daun]	To put somebody down
Испытывать симпатию к кому-л.	['sɪmpəθaɪz wɪð]	To sympathize with
Послать воздушный поцелуй	[θrəu ə kɪs]	To throw a kiss
Вечная любовь	[ʌn'daɪɪŋ lʌv]  	Undying love
Безответная любовь	[ˌʌnrɪ'kwaɪtɪd lʌv]  	Unrequited love
Клише для расставания	[breɪk ʌp laɪnz]	Break-up lines
