Голодный	['hʌŋgrɪ]	Hungry
Большой	[bɪg]	Big
Большой / крупный	[lɑːʤ]	Large
Маленький	['lɪtl / smɔːl]	Little / small
Горячий	[hɔt]	Hot
Занятой	['bɪzɪ]	Busy
Помешанный (на чем-л.)	['kreɪzɪ]	Crazy (about)
Настоящий	[rɪəl]	Real
Строгий	[strɪkt]	Strict
Настоящий	[truː]	True
Реалист	[ˈrɪəlɪst]	Realist
Патриотичный	[ˌpætrɪ'ɔtɪk]	Patriotic
Импульсивный	[ɪm'pʌlsɪv]	Impulsive
Взволнованный	[ɪk'saɪtɪd]	Excited
Ревнивый	['ʤeləs]	Jealous
Наивный	[naɪˈiːv]	Naive
Пассивный	[ˈpæsɪv]	Passive
Странный, чудной	[wɪəd]	Weird
Коварный, хитрый	[slaɪ]	Sly
Непосредственный	[spɔn'teɪnɪəs]	Spontaneous
Непредсказуемый	[ˌʌnprɪ'dɪktəbl]	Unpredictable
Необычный	[ʌn'juːʒ(ə)l  / ʌn'kɔmən]	Unusual / uncommon
Черта характера	[ˈkærɪktə(r) treɪt]	Character trait
Скрупулезный	['ækjərət]	Accurate
Ужасный (крутой)	['ɔːsəm]	Awesome
Испытывающий скуку	[bɔːd]	Bored
Капризный, нетерпеливый	[kə'prɪʃəs   /  ɪm'peɪʃ(ə)nt]	Capricious  / impatient
Необщительный	[ʌn'səuʃəbl]	Unsociable
Хитрый, лукавый, коварный; пронырливый	['kʌnɪŋ]	Cunning
Эксцентричный	[ɪk'sentrɪk]	Eccentric
Беспечный	 [i:zi:gəuiŋ]	 easy-going
Замкнутый	[rɪ'zɜːvd]	Reserved
Задумчивый	[θɔːtf(ə)l]	Thoughtful
Непринужденный, раскованный	[rıʹlækst]	Relaxed
Меланхоличный	[ˌmelən'kɔlɪk]	Melancholic
Обыкновенный	['ɔːd(ə)n(ə)rɪ  / 'æv(ə)rɪʤ]	Ordinary / average
Жесткий, суровый	[tʌf]	Tough
Дружелюбный	['frendlɪ]	Friendly
Умный	[ˈklevə(r)]	Clever
Умный	[smɑːt]	Smart
Умный, разумный	[ɪnˈtelɪdʒənt]	Intelligent
Красивый	['bjuːtɪf(ə)l]	Beautiful
Хороший	[gud]	Good
Серьезный	[ˈsɪərɪəs]	Serious
Счастливый	['hæpɪ]	Happy
Честный	['ɔnɪst]	Honest
Идеальный	[aɪˈdiːəl  /  'pɜːfɪkt]	Ideal / perfect
Важный	[ɪm'pɔːt(ə)nt]	Important
Добрый	[kaɪnd]	Kind
Позитивный	[ˈpɒzɪtɪv]	Positive
Терпеливый	[ˈpeɪʃ(ə)nt]	Patient
Организованный	['ɔːg(ə)naɪzd]	Organized
Активный	[ˈæktiv]	Active
Мудрый, рассудительный	[waɪz]	Wise
Общительный	['səuʃəb(ə)l]	Sociable
Веселый 	['ʧɪəf(ə)l  /  braɪt]	Cheerful / bright
Оптимист	[ˈɒptɪmɪst]	Optimist
Внимательный, заботливый	[ə'tentɪv]	Attentive
Чуткий, чувствительный	['sen(t)sɪtɪv]	Sensitive
Трудолюбивый	['hɑːdˌwɜːkɪŋ]	Hard-working
Прекрасный	['wʌndəf(ə)l]	Wonderful
Ответственный	[rɪˈspɒnsɪb(ə)l]	Responsible
Независимый	[ˌɪndɪ'pendənt]	Independent
Привлекательный	[ə'træktɪv]	Attractive
Справедливый 	[feər] 	Fair 
Амбициозный, честолюбивый	[æm'bɪʃəs]	Ambitious
Смелый	[breɪv]	Brave
Квалифицированный	[ɪ'fɪʃ(ə)nt]	Efficient
Заботливый, проявляющий заботу	['keəf(ə)l]	Careful
Тихий, спокойный	[kɑːm]	Calm
Гордый; обладающий чувством собственного достоинства	[praud]	Proud
Активный, энергичный	[ˌenə'ʤetɪk]	Energetic
Чудный	['lʌvlɪ]	Lovely
Веселый	['merɪ]	Merry
Скромный	[ˈmɒdɪst]	Modest
Талантливый	['tæləntɪd]	Talented
Гениальный	['ʤiːnɪəs]	Genius
Застенчивый	[ʃaɪ]	Shy
Надежный, верный	[rɪˈlaɪəbəl]	Reliable
Толерантный	[ˈtɒlərənt]	Tolerant
Зрелый	[mə'tjuə]	Mature
Здравомыслящий; разумный	['sen(t)sɪb(ə)l]	Sensible
Застенчивый, робкий, скромный	['bæʃf(ə)l]	Bashful
С широкими взглядами, с широким кругозором	[ˌbrɔːd'maɪndɪd]	Broad-minded
Очаровательный	['ʧɑːmɪŋ]	Charming
Уверенный в себе	['kɔnfɪd(ə)nt]	Confident
Верный, преданный	['lɔɪəl]	Loyal
Любопытный	[ˈkjʊərɪəs]	Curious
Забавный	['hjuːm(ə)rəs  /  ə'mjuːzɪŋ]	Humorous / amusing
Решительный, непоколебимый, стойкий	[dɪ'tɜːmɪnd]	Determined
Дисциплинированный	['dɪsəplɪnd]	Disciplined
Бережливый, расчетливый	[ˌiːkə'nɔmɪk(ə)l]	Economical
Восторженный; полный энтузиазма	[ɪnˌθjuːzɪ'æstɪk]	Enthusiastic
Великолепный	['eks(ə)l(ə)nt]	Excellent
Очаровательный	['fæsɪneɪtɪŋ]	Fascinating
Великодушный, щедрый	['ʤen(ə)rəs]	Generous
Одаренный	['gɪftɪd]	Gifted
Гуманный	[hjuːˈmeɪn]	Humane
Довольный	[pliːzd]	Pleased
Благоразумный	['riːz(ə)nəb(ə)l]	Reasonable
Волевой	[stroŋ- wild]	Strong-willed
Понимающий, отзывчивый	[ˌʌndə'stændɪŋ]	Understanding
Остроумный	[ˈwɪtɪ]	Witty
Плохой	[bæd]	Bad
Холодный	[kəuld]	Cold
Глупый	['sɪlɪ]	Silly
Злой	[ˈæŋɡrɪ]	Angry
Ленивый	[leɪzɪ]	Lazy
Скучный 	['bɔːrɪŋ  / dʌl]	Boring / dull
Жадный	[ˈɡriːdɪ]	Greedy
Эгоистичный	['selfɪʃ]	Selfish
Глупый, тупой; скучный	[ˈstjuːpɪd  / dʌl]	Stupid / dull
Ужасный	['terəb(ə)l]	Terrible
Агрессивный, пробивной, настойчивый	[ə'gresɪv]	Aggressive
Уродливый	['ʌglɪ]	Ugly
Нервный	['nɜːvəs]	Nervous
Расстроенный	[ʌp'set]	Upset
Жестокий	[ˈkruːəl]	Cruel
Ужасный	['hɔrəb(ə)l]	Horrible
Унылый, угрюмый	['muːdɪ]	Moody
Мерзкий	['nɑːstɪ]	Nasty
Пессимист	[ˈpesɪmɪst]	Pessimist
Циничный	[ˈsɪnɪkəl]	Cynical
Зависимый (от)	[dɪ'pendənt]	Dependent (on)
Отвратительный	[dɪs'gʌstɪŋ]	Disgusting
Завистливый	['envɪəs]	Envious
Глупый; взбалмошный	['fuːlɪʃ]	Foolish
Голова	[ hed ]	Head
Волосы	[ hɛə ]	Hair
Глаз	[ ai ]	Eye
Губы	[ lips ]	Lips
Зуб (зубы)	[ tu:θ / tiːθ]	Tooth (teeth)         
Лицо	[ feis ]	Face
Нос	[ nəuz ]	Nose
Рот	[ mauθ ]	Mouth
Ухо	[ iə ]	Ear
Язык	[ tʌŋ ]	Tongue
Конечности	[lɪmz]  	Limbs 
Рука (от плеча до кисти)	[ ɑ:m ]	Arm
Кисть руки	[ hænd ]	Hand
Палец руки	[fɪŋɡə(r) ]                                 	Finger       
Ладонь	[ pɑ:m ]	Palm
Плечо	[ 'ʃəuldə ]	Shoulder
Нога(до ступни)	[ leg ]	Leg
Нога (ступня)/ ноги (ступни)	[ fut  /   fi:t ]	Foot / feet
Тело	['bɔdɪ]	Body
Грудь	[ brest ]	Breast
Живот(желудок)	[ 'stʌmək ]	Stomach
Живот	[ˈbɛlɪ]	Belly 
Спина	[ bæk ]	Back
Талия	[ weist ]	Waist
Шея	[ nek ]	Neck
Ягодицы	[‘bʌtəks]	Buttocks 
Тело	['bɔdɪ]	Body
Хорошо сложенный (о мужчине)	[ˌwel'bɪlt]	Well-built
С хорошей фигурой (о женщине)	[‘welʃeɪpt]	Well-shaped
Худой, тощий	[‘skɪnɪ / 'slendə / θɪn  ]	Skinny / slender / thin  
