Флот	[mə'riːn]	Marine
Яхта	[jɔt]	Yacht
Шлюпка	[bəut]	Boat
Паром	['ferɪ]	Ferry
Парусник	['seɪlə]	Sailor
Пароход	['stiːmʃɪp]	Steamship
Весло	[skʌl]	Scull
Якорь	['æŋkə]	Anchor
Акваланг	['ækwəlʌŋ]	Aqualung
Бухта	[beɪ]	Bay
Буй	[bɔɪ]	Buoy
Цепь якорная	['keɪbl]	Cable
Паруса	['kænvəs]	Canvas
Отсек	[kəm'pɑːtmənt]	Compartment
Палуба	[dek]	Deck
Гавань	['hɑːbə]	Harbour
Трюм	[həuld]	Hold
Пристань	['ʤetɪ]	Jetty
Мачта	[ma:st]	Mast
Капитан	['mɑːstə]	Master
Причал	['muərɪʤ \ mɔː]	Moorage
За борт	['autbɔːd]	Outboat
Нос корабля	['rɔstrəm]	Rostrum
Мореплавание	['siːˌfeərɪŋ]	Seafaring
Судоходство	['ʃɪpɪŋ]	Shipping
Аквалангист	['skɪnˌdaɪvə]	Skin-diver
Шлюз	[sluːs]	Sluice
Корма	[stɜːn]	Stern
Моторная лодка	['dɪŋgɪ]	Dinghy
Ледокол	['aɪsˌbreɪkə]	Icebreaker
Плот	[rɑːft]	Raft
Танкер	['tæŋkə]	Tanker
Буксир	[təu]	Tow
