Голодный	['hʌŋgrɪ]	Hungry
Большой	[bɪg]	Big
Маленький	['lɪtl  /  smɔːl]	Little / small
Горячий	[hɔt]	Hot
Занятой	['bɪzɪ]	Busy
Помешанный (на чем-л.)	['kreɪzɪ]	Crazy (about)
Настоящий	[rɪəl]	Real
Строгий	[strɪkt]	Strict
Непринужденный, раскованный	[rıʹlækst]	Relaxed
Наивный	[naɪˈiːv]	Naive
Меланхоличный	[ˌmelən'kɔlɪk]	Melancholic
Обыкновенный	['ɔːd(ə)n(ə)rɪ / 'æv(ə)rɪʤ]	Ordinary / average
Пассивный	[ˈpæsɪv]	Passive
Настоящий	[truː]	True
Необщительный	[ʌn'səuʃəbl]	Unsociable
Реалист	[ˈrɪəlɪst]	Realist
Патриотичный	[ˌpætrɪ'ɔtɪk]	Patriotic
Импульсивный	[ɪm'pʌlsɪv]	Impulsive
Взволнованный	[ɪk'saɪtɪd]	Excited
Ревнивый	['ʤeləs]	Jealous
Коварный, хитрый	[slaɪ]	Sly
Непосредственный	[spɔn'teɪnɪəs]	Spontaneous
Непредсказуемый	[ˌʌnprɪ'dɪktəbl]	Unpredictable
Необычный	[ʌn'juːʒ(ə)l / ʌn'kɔmən]	Unusual / uncommon
Странный, чудной	[wɪəd]	Weird
Личность	[pəːsəˈnælɪtɪ]	Personality
Черта характера	[ˈkærɪktərtreɪt]	Character trait
Темперамент	[ˈtemprəmənt]	Temperament
Скрупулезный	['ækjərət]	Accurate
Ужасный (крутой)	['ɔːsəm]	Awesome
Испытывающий скуку	[bɔːd]	Bored
Капризный, нетерпеливый	[kə'prɪʃəs /'fretf(ə)l / ɪm'peɪʃ(ə)nt]	Capricious / fretful / impatient
Хитрый, лукавый, коварный; пронырливый	['kʌnɪŋ]	Cunning
Эксцентричный	[ɪk'sentrɪk]	Eccentric
Большой / крупный	[lɑːʤ]	Large
Беспечный	[lait-ha:ted /i:zi:gəuiŋ]	Light-hearted / easy-going
Маленький	['lɪtl] / [smɔːl]	Little / small
Замкнутый	[rɪ'zɜːvd]	Reserved
Задумчивый	[θɔːtf(ə)l]	Thoughtful
Жесткий, суровый	[tʌf]	Tough
Амбициозный, честолюбивый	[æm'bɪʃəs]	Ambitious
Дружелюбный	['frendlɪ]	Friendly
Умный	[ˈklevər]	Clever
Смелый	[breɪv]	Brave
Красивый	['bjuːtəf(ə)l]	Beautiful
Хороший	[gud]	Good
Застенчивый	[ʃaɪ]	Shy
Серьезный	[ˈsɪərɪəs]	Serious
Счастливый	['hæpɪ]	Happy
Честный	['ɔnɪst]	Honest
Замечательный	[faɪn]	Fine
Очаровательный; чарующий	['glæm(ə)rəs]	Glamorous
Идеальный	[aɪˈdiːəl / 'pɜːfɪkt]	Ideal / perfect
Важный	[ɪm'pɔːt(ə)nt]	Important
Добрый	[kaɪnd]	Kind
Позитивный	['pɔzətɪv]	Positive
Терпеливый	[ˈpeɪſən]	Patient
Забавный	['hjuːm(ə)rəs / ə'mjuːzɪŋ]	Humorous / amusing
Независимый	[ˌɪndɪ'pendənt]	Independent
Верный, преданный	['lɔɪəl]	Loyal
Благородный	['nəubl]	Noble
Организованный	['ɔːg(ə)naɪzd]	Organized
Надежный, верный	[rɪˈlaɪəbəl]	Reliable
Талантливый	['tæləntɪd]	Talented
Толерантный	[ˈtɒlərənt]	Tolerant
Активный	[ˈæktiv]	Active
Мудрый, рассудительный	[waɪz]	Wise
Общительный	['səuʃəbl]	Sociable
Чуткий, чувствительный	['sen(t)sɪtɪv]	Sensitive
Прекрасный	['wʌndəf(ə)l]	Wonderful
Ответственный	[rɪˈspɒnsɪbəl]	Responsible
Здравомыслящий; разумный	['sen(t)sɪbl]	Sensible
Заботливый, проявляющий заботу	['keəf(ə)l]	Careful
Тихий, спокойный	[kɑːm]	Calm
Гордый; обладающий чувством собственного достоинства	[praud]	Proud
Активный, энергичный	[ˌenə'ʤetɪk]	Energetic
Гениальный	['ʤiːnɪəs]	Genius
Зрелый	[mə'tjuə]	Mature
Внимательный, заботливый	[ə'tentɪv]	Attentive
Привлекательный	[ə'træktɪv]	Attractive
Застенчивый, робкий, скромный	['bæʃf(ə)l]	Bashful
С широкими взглядами, с широким кругозором	[ˌbrɔːd'maɪndɪd]	Broad-minded
Очаровательный	['ʧɑːmɪŋ]	Charming
Бодрый	['ʧɪəf(ə)l /braɪt]	Cheerful / bright
Покладистый	[kəmˈpleɪzənt]	Complaisant
Уверенный в себе	['kɔnfɪd(ə)nt]	Confident
Внимательный к другим; деликатный	[kən'sɪd(ə)rət]	Considerate
Отважный	[kəˈreɪdʒəs]	Courageous
Любопытный	[ˈkjʊərɪəs]	Curious
Решительный, непоколебимый, стойкий	[dɪ'tɜːmɪnd]	Determined
Дисциплинированный	['dɪsəplɪnd]	Disciplined
Бережливый, расчетливый	[ˌiːkə'nɔmɪk(ə)l]	Economical
Квалифицированный	[ɪ'fɪʃ(ə)nt]	Efficient
Восторженный; полный энтузиазма	[ɪnˌθjuːzɪ'æstɪk]	Enthusiastic
Уравновешенный	['iːv(ə)n 'tempəd]	Even-tempered
Великолепный	['eks(ə)l(ə)nt]	Excellent
Очаровательный	['fæsɪneɪtɪŋ]	Fascinating
Справедливый / беспристрастный	[feər /ɪmˈpɑːſəl]	Fair / impartial
Верный, преданный	['feɪθf(ə)l]	Faithful
(Все)прощающий	[fə'gɪvɪŋ]	Forgiving
Великодушный, щедрый	['ʤen(ə)rəs]	Generous
Одаренный	['gɪftɪd]	Gifted
Грациозный	['greɪsf(ə)l]	Graceful
Трудолюбивый	['hɑːdˌwɜːkɪŋ]	Hard-working
Гуманный	[hjuːˈmeɪn]	Humane
Умный, разумный	[ɪnˈtelɪdʒənt]	Intelligent
(Добро) сердечный	[ˌkaɪnd'hɑːtɪd]	Kind-hearted
Чудный	['lʌvlɪ]	Lovely
Веселый	['merɪ]	Merry
Скромный	[ˈmɒdɪst]	Modest
Оптимист	[ˈɒptɪmɪst]	Optimist
Довольный	[pliːzd]	Pleased
Разумный	['ræʃ(ə)n(ə)l]	Rational
Благоразумный	['riːz(ə)nəbl]	Reasonable
Почтительный; вежливый	[rɪ'spektf(ə)l]	Respectful
Отзывчивый	[rɪˈspɒnsɪv]	Responsive
