Аэропорт 	 ['e?p??t]	Airport
зонa ожидания [?we?t?? ???r??] waiting area
монитор вылетов и прилетов   	[??ra?vl жnd d??p??t??r ?m?n?t?r] 	arrival and departure monitor
вход /выход	 [ge?t] 	 gate
стойка 	 [??k ?n ?ka?nt?]	check-in counter
посадочный талон 	[?b??d?? p??s]	 boarding pass
багажный талон	 [?bжg?? kle?m ??k ]	 baggage claim check
терминал 	 [?t??m?nl]	terminal
сувенирный магазин 	 [g?ft ??p]	gift shop
закусочная 	 [k?n?s???n stжnd/snжk b??]	concession stand/snack bar
магазин беспошлинной торговли 	 ['dju?t?'fri? ??p]	duty-free shop
Самолет	 ['e?ple?n]	 Airplane
мешок при воздушной болезни 	 [e? ?s?kn?s bжg]	air sickness bag
проход 	 [a?l]	aisle
место возле прохода 	 [a?l si?t]	aisle seat
подлокотник	 [???m?r?st]	 armrest
салон самолета 	 [?kжb?n]	cabin
кнопкa вызова 	 [k??l ?b?tn]	call button
грузовой люк	 [?k??g?? d??]	 cargo door
второй пилот 	 [?k???pa?l?t]	co-pilot
кабина летчика 	 [?k?kp?t]	cockpit
аварийный выход	 [??m????nsi ??ks?t]	 emergency exit
инструкция по поведению в чрезвычайных ситуациях	[??m????nsi ?n?str?k??n k??d]	emergency instruction card 
сигнал "Пристегните ремни"  	[?f??sn si?t b?lt sa?n]	fasten Seat Belt sign
первый класс  	[?f??st?kl??s ?s?k??n]	first-class section
бортпроводник 	 [fla?t ??t?nd?nt]	flight attendant
бортинженер 	 [fla?t ??n???n??]	flight engineer
фюзеляж 	[?fju?z?l???]	 fuselage
камбуз	 [?gжli]	 galley
мешок для одежды	 [?g??m?nt bжg]	 garment bag
панель контрольно-измерительных приборов	 [??nstr?m?nt ?pжnl]	instrument panel
шасси  	[?lжnd?? g??]	landing gear
туалет 	[?lжv?t?ri]	 lavatory
спасательный жилет  	[la?f v?st]	life vest
среднее сидение [?m?dl si?t]	 middle seat	
сигнал "Не курить" [n?? ?sm??k?? sa?n]	 no Smoking sign	
багажная полка  [???v?h?d k?m?p??tm?nt/?l?k?]	overhead compartment/locker	
